"","Ro2020s021","Ro2020s035","Ro2020s001","Ro2020s003","Ro2020s022","Ro2020s028","Ro2020s012","Ro2020s002","Ro2020s008","Ro2020s026","Ro2020s024","Ro2020s037","Ro2020s016","Ro2020s004","Ro2020s019","Ro2020s029","Ro2020s031","Ro2020s027","Ro2020s009","Ro2020s039","Ro2020s010","Ro2020s030","Ro2020s013","Ro2020s020","Ro2020s007","Ro2020s017","Ro2020s014","Ro2020s023","Ro2020s015","Ro2020s033","Ro2020s025","Ro2020s038","Ro2020s011","Ro2020s018","Ro2020s006","Ro2020s005","Ro2020s036","Ro2020s032","Ro2020s034","taxonomy"
"9387debc0181feaf736b034c6f649a6b",15,0,2,0,0,6,0,0,0,3,2,0,7,2,14,0,0,3,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,27,7,8,0,0,0,"D_0__Bacteria; D_1__Planctomycetes; D_2__Phycisphaerae; D_3__MSBL9; D_4__SM23-30; D_5__uncultured bacterium; D_6__uncultured bacterium"
"81ca475020b15a4a912f5be633cd2e65",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,"D_0__Bacteria; D_1__Proteobacteria"
"b3ac93c0af919caa63c37aaabc0d50b7",0,0,0,0,7,5,0,0,0,2,3,0,3,0,2,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"D_0__Bacteria; D_1__Bacteroidetes; D_2__Bacteroidia; D_3__Bacteroidales; D_4__Marinilabiliaceae"
"d06f026f67fd7148a352f83a56fd9279",20,0,0,0,2,0,0,0,1,0,1,0,2,3,0,0,0,14,0,0,0,0,0,21,0,0,0,0,0,0,2,0,2,16,0,0,0,0,0,"D_0__Bacteria; D_1__Firmicutes; D_2__Clostridia; D_3__Clostridiales; D_4__Defluviitaleaceae; D_5__Defluviitaleaceae UCG-011"
"b86a75df482f0fc6da75c20d1c434a62",0,0,25,7,0,0,0,3,5,0,0,0,0,16,0,0,479,0,4,3,5,694,0,0,5,2,0,0,2,1106,0,0,0,0,3,0,0,783,0,"D_0__Bacteria; D_1__Chloroflexi; D_2__Anaerolineae; D_3__Anaerolineales; D_4__Anaerolineaceae; D_5__Pelolinea; D_6__bacterium enrichment culture clone E33"
"bc0efbdf78e9cd0b2ce7ce4179f3a62d",51,0,49,28,53,44,11,13,11,19,11,2,94,40,124,42,14,87,9,0,14,21,12,71,19,7,2,18,12,32,15,0,19,115,47,83,0,52,3,"D_0__Bacteria; D_1__Firmicutes; D_2__Clostridia; D_3__Clostridiales; D_4__Eubacteriaceae; D_5__Alkalibacter; Ambiguous_taxa"
"47a37c93741c4411e46de741901ef775",9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"D_0__Bacteria; D_1__Firmicutes; D_2__Clostridia; D_3__Clostridiales; D_4__Peptococcaceae; D_5__uncultured; D_6__uncultured bacterium"
"92f603093fa8a5d3f2f06d96e2114e74",2,0,0,0,0,2,0,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"D_0__Bacteria; D_1__Firmicutes; D_2__Clostridia; D_3__Clostridiales; D_4__Peptococcaceae; D_5__uncultured; D_6__uncultured bacterium"
"e25240e69b06d716862c7a1d72994a1c",0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"D_0__Bacteria; D_1__Bacteroidetes; D_2__Bacteroidia; D_3__Bacteroidales; D_4__Bacteroidetes BD2-2"
"53176801f1fd3980f89c4d65959c5e22",0,0,42,0,89,10,10,16,0,3,10,0,17,0,20,17,0,8,21,5,18,0,16,5,5,0,2,51,19,0,6,7,14,47,15,7,0,0,0,"D_0__Bacteria; D_1__Proteobacteria; D_2__Deltaproteobacteria; D_3__Desulfobacterales; D_4__Desulfobacteraceae; D_5__uncultured; D_6__bacterium enrichment culture clone Oil_10"
"ecfd58796d8b679e7f6c3a1cd0df8171",0,0,0,0,0,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"D_0__Bacteria; D_1__Firmicutes; D_2__Clostridia; D_3__Clostridiales; D_4__Clostridiaceae 1; D_5__Clostridium sensu stricto 13; D_6__uncultured bacterium"
"c71d661fb75f506fb09378fe7d9392ed",0,0,0,0,8,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,"D_0__Bacteria; D_1__Firmicutes; D_2__Clostridia; D_3__Clostridiales; D_4__Christensenellaceae; D_5__uncultured"
"6139125f0ef98ddf6783477df88cb315",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,5,0,0,0,3,0,0,0,0,0,0,"D_0__Bacteria; D_1__Firmicutes; D_2__Clostridia; D_3__Clostridiales; D_4__Clostridiales Incertae Sedis; D_5__Dethiosulfatibacter; D_6__uncultured organism"
"4dda840791a22a76631a4fa2e9821213",2,0,5,0,0,7,4,0,7,0,0,0,0,0,0,21,0,10,10,0,32,0,7,0,0,2,16,11,11,0,0,1,20,7,3,0,0,0,0,"D_0__Bacteria; D_1__Bacteroidetes; D_2__Bacteroidia; D_3__Bacteroidales; D_4__Prolixibacteraceae; D_5__uncultured; D_6__uncultured bacterium"
"cda1465040a78df5867f36fe2fa13063",0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,4,0,0,5,0,0,0,0,0,0,0,0,"D_0__Bacteria; D_1__Firmicutes; D_2__Clostridia; D_3__Clostridiales; D_4__Peptococcaceae; D_5__Desulfotomaculum; D_6__Desulfotomaculum intricatum"
"612ae4df83ecc051f21ec0800ac803c1",7,0,0,0,0,0,0,0,0,35,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,6,0,0,0,0,0,0,0,0,"D_0__Bacteria; D_1__Proteobacteria; D_2__Deltaproteobacteria; D_3__Desulfobacterales; D_4__Desulfobulbaceae; D_5__[Desulfobacterium] catecholicum group"
"b61b3c347ddf246e57828da3d8daf201",0,0,3,2,0,4,4,0,7,0,0,0,5,2,5,3,10,0,3,0,6,21,4,6,4,0,0,0,5,23,0,0,4,1,0,7,0,8,0,"D_0__Bacteria; D_1__Synergistetes; D_2__Synergistia; D_3__Synergistales; D_4__Synergistaceae; D_5__Thermovirga; D_6__uncultured Synergistaceae bacterium"
"0e773650949177d101ac265d3fe7913a",4,0,0,0,0,11,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,"D_0__Bacteria; D_1__Planctomycetes; D_2__Phycisphaerae; D_3__Phycisphaerales; D_4__AKAU3564 sediment group; D_5__uncultured organism; D_6__uncultured organism"
"5eeb6423edc50838aeafe8b0d5d89486",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"D_0__Bacteria; D_1__Firmicutes; D_2__Clostridia; D_3__Clostridiales"
