#OTU ID	011BFE	012BFE	013BFE	020BFE	027BFE	028BFE	030BFE	038BFE	040BFE	047BFE	049BFE	053BFE	055BFE	060BFE	062BFE	063BFE	064BFE	067BFE	069BFE	070BFE	071BFE	073BFE	075BFE	076BFE	077BFE	078BFE	079BFE	080BFE	082BFE	084BFE	085BFE	086BFE	087BFE	088BFE	089BFE	090BFE	091BFE	092BFE	093BFE	094BFE	096BFE	097BFE	099BFE	100BFE	101BFE	102BFE	103BFE	104BFE	105BFE	107BFE	108BFE	109BFE	110BFE	112BFE	126BFE	128BFE	140BFE	142BFE	144BFE	148BFE	170BFE	176BFE	187BFE	502AFE	503AFE	504AFE	505AFE	508AFE	509AFE
k__Bacteria._.p__Firmicutes._.c__Clostridia._.o__Clostridiales._.f__Ruminococcaceae._.g__Butyricicoccus	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	1	0	0	1	0	0	1	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria._.p__Firmicutes._.c__Clostridia._.o__Clostridiales._.f__Ruminococcaceae._.g__Clostridium_IV	3	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	3	1	0	0	3	1	0	0	2	3	0	0	1	1	0	0	5	0	1	1	0	0	10	0	2	5	2	2	11	2	2	0	0	0	3	0	0	0	0	0	0	4	0	0	0	0	17	0	0	0
k__Bacteria._.p__Firmicutes._.c__Clostridia._.o__Clostridiales._.f__Ruminococcaceae._.g__Faecalibacterium	88	5	6	132	36	102	15	14	11	14	15	6	0	9	1	10	6	67	28	54	116	19	58	26	28	150	35	31	71	66	1	46	52	100	27	49	0	103	15	13	0	89	18	32	29	16	33	24	18	19	59	42	34	5	13	10	13	6	18	0	12	29	40	1	0	0	0	9	10
k__Bacteria._.p__Firmicutes._.c__Clostridia._.o__Clostridiales._.f__Ruminococcaceae._.g__Flavonifractor	5	0	5	1	0	2	0	0	0	0	0	1	0	0	2	1	1	0	0	1	2	2	0	3	2	0	6	0	1	4	0	0	1	2	0	0	5	1	0	0	1	0	1	0	2	2	1	0	0	0	0	4	0	0	0	0	0	2	0	1	0	0	2	2	11	2	1	3	0
k__Bacteria._.p__Firmicutes._.c__Clostridia._.o__Clostridiales._.f__Ruminococcaceae._.g__Oscillibacter	4	1	1	79	10	81	0	32	3	0	14	9	1	1	0	0	1	99	1	99	21	21	28	6	26	14	11	40	130	26	1	50	43	39	4	60	0	0	20	6	1	22	1	51	0	16	22	161	7	9	51	96	15	32	3	7	6	0	35	0	4	4	4	18	6	16	4	16	2
k__Bacteria._.p__Firmicutes._.c__Clostridia._.o__Clostridiales._.f__Ruminococcaceae._.g__Pseudoflavonifractor	1	0	0	7	1	1	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	1	0	1	0	0	1	1	0	8	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	4	1	11	1	1	2
k__Bacteria._.p__Firmicutes._.c__Clostridia._.o__Clostridiales._.f__Ruminococcaceae._.g__Ruminococcus	0	19	0	54	0	21	0	3	25	0	8	15	0	0	0	101	0	4	6	45	93	26	5	1	0	8	4	105	18	361	0	1	8	16	1	3	12	4	11	6	0	5	7	20	0	18	7	17	8	10	42	39	24	6	1	3	0	0	25	0	7	23	5	8	0	0	0	0	10
k__Bacteria._.p__Firmicutes._.c__Clostridia._.o__Clostridiales._.f__Ruminococcaceae._.g__Subdoligranulum	1	0	0	7	3	6	0	2	0	0	0	0	0	0	0	1	0	1	0	41	2	5	0	7	0	0	5	88	2	16	1	4	6	9	1	23	32	3	0	0	0	8	2	11	4	7	1	1	0	1	2	3	5	0	0	0	0	0	1	0	2	0	3	19	0	0	0	0	0
k__Bacteria._.p__Firmicutes._.c__Erysipelotrichia._.o__Erysipelotrichales._.f__Erysipelotrichaceae._.g__	62	0	0	21	2	11	0	0	0	0	0	0	0	0	0	37	0	0	0	12	0	0	19	27	27	14	0	16	0	4	0	0	10	13	0	32	0	0	0	2	0	1	3	5	12	5	0	0	0	0	1	0	5	7	0	0	1	2	0	0	9	0	4	0	0	0	0	0	2
k__Bacteria._.p__Firmicutes._.c__Erysipelotrichia._.o__Erysipelotrichales._.f__Erysipelotrichaceae._.g__Catenibacterium	0	0	2	0	11	0	0	0	9	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	12	0	0	2	0	0	0	0	32	163	15	0	0	0	0	16	0	0	4	9	21	9	0	0	19	0	0	3	0	0	0	0	0	0	0	0	0	0
